ID,GroupLabel,Statistic,Test_Phase,BR_Day,Unit,Value
331,Exercise,SERR,IN_TEST,71,CD16/56+ (%),2.1
332,Exercise,SERR,POST_TEST,5,CD16/56+ (%),2.1
333,Exercise,TTEST,PRE_TEST,10,CD16/56+ (%),NA
334,Exercise,TTEST,IN_TEST,28,CD16/56+ (%),0.211
335,Exercise,TTEST,IN_TEST,71,CD16/56+ (%),0.692
336,Exercise,TTEST,POST_TEST,5,CD16/56+ (%),0.592
337,Exercise,MEAN,PRE_TEST,10,CD3+/CD4+ (%),58
338,Exercise,MEAN,IN_TEST,28,CD3+/CD4+ (%),59
339,Exercise,MEAN,IN_TEST,71,CD3+/CD4+ (%),59
340,Exercise,MEAN,POST_TEST,5,CD3+/CD4+ (%),59
341,Exercise,SERR,PRE_TEST,10,CD3+/CD4+ (%),4.0
342,Exercise,SERR,IN_TEST,28,CD3+/CD4+ (%),3.1
343,Exercise,SERR,IN_TEST,71,CD3+/CD4+ (%),3.5
344,Exercise,SERR,POST_TEST,5,CD3+/CD4+ (%),3.3
345,Exercise,TTEST,PRE_TEST,10,CD3+/CD4+ (%),NA
346,Exercise,TTEST,IN_TEST,28,CD3+/CD4+ (%),0.583
347,Exercise,TTEST,IN_TEST,71,CD3+/CD4+ (%),0.512
348,Exercise,TTEST,POST_TEST,5,CD3+/CD4+ (%),0.874
349,Exercise,MEAN,PRE_TEST,10,CD3+/CD8+ (%),34
350,Exercise,MEAN,IN_TEST,28,CD3+/CD8+ (%),34
351,Exercise,MEAN,IN_TEST,71,CD3+/CD8+ (%),34
352,Exercise,MEAN,POST_TEST,5,CD3+/CD8+ (%),34
353,Exercise,SERR,PRE_TEST,10,CD3+/CD8+ (%),3.6
354,Exercise,SERR,IN_TEST,28,CD3+/CD8+ (%),3.1
355,Exercise,SERR,IN_TEST,71,CD3+/CD8+ (%),3.3
356,Exercise,SERR,POST_TEST,5,CD3+/CD8+ (%),3.2
357,Exercise,TTEST,PRE_TEST,10,CD3+/CD8+ (%),NA
358,Exercise,TTEST,IN_TEST,28,CD3+/CD8+ (%),0.620
359,Exercise,TTEST,IN_TEST,71,CD3+/CD8+ (%),0.515
360,Exercise,TTEST,POST_TEST,5,CD3+/CD8+ (%),0.933
361,Exercise,MEAN,PRE_TEST,10,CD4+/CD45RO+ (%),55
362,Exercise,MEAN,IN_TEST,28,CD4+/CD45RO+ (%),56
